sl_no,ssc_p,ssc_b,hsc_p,hsc_b,hsc_s,degree_p,degree_t,workex,etest_p,specialisation,mba_p,status,salary
21,84.11,Central,59.57,Others,Commerce,70.83,Others,No,96.78,Mkt&Fin,52.37,Placed,642588.0
22,65.95,Others,71.47,Central,Commerce,84.73,Comm&Mgmt,No,91.81,Mkt&HR,64.07,Placed,661829.0
23,93.68,Others,89.14,Others,Commerce,54.39,Others,No,47.71,Mkt&Fin,68.48,Placed,474032.0
24,90.19,Others,83.03,Central,Arts,65.24,Comm&Mgmt,No,90.95,Mkt&Fin,56.67,Placed,622424.0
25,85.03,Central,80.41,Others,Science,70.24,Others,No,88.64,Mkt&Fin,57.57,Placed,604323.0
26,58.76,Central,53.76,Central,Arts,67.29,Others,No,90.52,Mkt&HR,59.21,Placed,604592.0
27,71.0,Others,62.88,Central,Science,54.34,Others,No,48.8,Mkt&HR,81.22,Placed,496829.0
28,51.97,Others,68.92,Central,Arts,56.14,Sci&Tech,Yes,46.77,Mkt&Fin,80.85,Not Placed,
29,56.94,Others,52.37,Others,Science,83.5,Comm&Mgmt,No,93.58,Mkt&Fin,65.32,Placed,682609.0
30,80.74,Central,58.67,Central,Commerce,69.38,Sci&Tech,Yes,50.08,Mkt&HR,56.89,Placed,640924.0
31,83.51,Others,60.42,Central,Arts,51.95,Sci&Tech,Yes,61.38,Mkt&Fin,54.44,Placed,584130.0
32,93.54,Central,51.36,Others,Arts,50.66,Sci&Tech,No,66.45,Mkt&Fin,53.49,Not Placed,
33,64.66,Central,72.51,Central,Arts,68.94,Comm&Mgmt,Yes,47.22,Mkt&Fin,65.65,Placed,635902.0
34,66.67,Others,80.25,Central,Arts,56.58,Comm&Mgmt,No,41.2,Mkt&HR,51.82,Not Placed,
35,71.13,Others,48.5,Central,Commerce,78.21,Others,No,97.66,Mkt&Fin,63.35,Placed,636604.0
36,58.53,Others,69.06,Central,Commerce,81.81,Sci&Tech,Yes,90.85,Mkt&HR,88.46,Placed,761910.0
37,55.85,Others,84.11,Others,Science,59.13,Comm&Mgmt,No,92.92,Mkt&Fin,70.3,Placed,610345.0
38,71.41,Central,82.4,Others,Commerce,73.69,Others,Yes,56.5,Mkt&HR,82.91,Placed,637338.0
39,60.21,Others,85.75,Others,Science,56.18,Others,No,52.77,Mkt&HR,55.17,Not Placed,
40,80.14,Central,67.41,Central,Commerce,62.14,Sci&Tech,No,64.7,Mkt&Fin,60.72,Placed,533052.0
41,69.67,Central,86.03,Central,Science,85.55,Others,Yes,66.29,Mkt&Fin,87.86,Placed,709119.0
42,87.47,Others,57.04,Central,Science,71.76,Sci&Tech,Yes,40.32,Mkt&Fin,65.34,Placed,631774.0
43,81.51,Others,63.04,Central,Science,85.44,Comm&Mgmt,Yes,85.2,Mkt&Fin,75.94,Placed,739063.0
44,64.06,Others,53.82,Others,Arts,59.01,Comm&Mgmt,No,97.81,Mkt&Fin,89.05,Placed,580503.0
45,87.45,Central,68.37,Others,Science,63.2,Others,Yes,70.66,Mkt&Fin,72.03,Placed,679113.0
46,86.21,Others,64.6,Central,Science,68.84,Others,No,62.52,Mkt&HR,62.21,Placed,548976.0
47,67.44,Central,57.05,Others,Commerce,69.2,Others,Yes,62.78,Mkt&Fin,71.28,Placed,641639.0
48,62.97,Others,82.59,Others,Science,89.91,Others,No,45.57,Mkt&HR,52.19,Placed,595365.0
49,80.71,Others,60.69,Central,Commerce,54.58,Comm&Mgmt,Yes,55.44,Mkt&Fin,54.49,Placed,585455.0
50,56.29,Others,58.64,Others,Commerce,84.08,Others,No,69.12,Mkt&HR,50.29,Placed,629257.0
51,59.0,Central,51.54,Central,Science,84.55,Sci&Tech,Yes,65.05,Mkt&HR,85.37,Placed,687273.0
52,50.33,Central,66.94,Central,Commerce,72.13,Comm&Mgmt,No,71.61,Mkt&Fin,76.85,Placed,585535.0
53,85.41,Central,60.15,Others,Science,63.76,Sci&Tech,No,89.25,Mkt&HR,61.93,Placed,589927.0
54,79.92,Others,63.46,Others,Commerce,70.77,Others,Yes,53.06,Mkt&Fin,58.85,Placed,666272.0
55,81.73,Others,56.8,Central,Arts,61.7,Others,No,41.6,Mkt&HR,77.32,Not Placed,
56,85.13,Central,83.16,Others,Arts,81.96,Others,Yes,42.22,Mkt&HR,86.78,Placed,676585.0
57,70.65,Others,91.5,Others,Commerce,69.93,Others,No,47.78,Mkt&Fin,61.97,Placed,517776.0
58,75.59,Others,69.9,Others,Science,87.03,Sci&Tech,No,73.09,Mkt&Fin,62.86,Placed,630941.0
59,56.29,Central,77.15,Central,Science,74.91,Others,No,86.87,Mkt&Fin,84.17,Placed,639161.0
60,55.15,Central,88.36,Others,Science,70.57,Comm&Mgmt,Yes,91.43,Mkt&Fin,85.74,Placed,702582.0
61,80.08,Others,94.94,Others,Science,78.44,Others,Yes,76.84,Mkt&Fin,86.56,Placed,735386.0
62,71.2,Others,75.68,Others,Arts,70.16,Others,Yes,63.38,Mkt&HR,61.73,Placed,675886.0
63,75.44,Central,89.49,Others,Science,86.18,Comm&Mgmt,Yes,48.96,Mkt&Fin,54.81,Placed,690304.0
64,84.42,Others,90.43,Others,Commerce,57.38,Sci&Tech,Yes,63.28,Mkt&HR,67.6,Placed,610856.0
65,78.56,Others,84.57,Others,Science,88.93,Comm&Mgmt,No,59.28,Mkt&HR,61.83,Placed,626251.0
66,74.91,Others,68.05,Others,Commerce,82.49,Comm&Mgmt,No,90.46,Mkt&HR,85.35,Placed,670530.0
67,75.16,Others,49.06,Others,Science,84.43,Others,No,68.23,Mkt&HR,51.47,Placed,604380.0
68,63.68,Others,45.79,Central,Commerce,69.32,Comm&Mgmt,No,53.12,Mkt&HR,75.36,Placed,543556.0
69,51.39,Central,68.86,Central,Commerce,83.49,Comm&Mgmt,Yes,56.75,Mkt&Fin,86.25,Placed,667001.0
70,69.65,Central,69.72,Others,Arts,62.27,Comm&Mgmt,No,47.92,Mkt&HR,89.07,Placed,502354.0
71,59.66,Central,65.37,Others,Commerce,80.48,Sci&Tech,Yes,93.28,Mkt&Fin,76.01,Placed,735533.0
72,68.38,Others,73.41,Others,Arts,55.62,Sci&Tech,Yes,42.92,Mkt&Fin,88.0,Placed,580519.0
73,88.4,Central,72.61,Central,Arts,62.28,Sci&Tech,No,40.75,Mkt&HR,53.03,Placed,495781.0
74,60.53,Central,86.83,Others,Science,67.83,Comm&Mgmt,No,50.61,Mkt&HR,64.37,Placed,531350.0
75,52.62,Others,50.43,Central,Arts,62.89,Comm&Mgmt,No,87.03,Mkt&Fin,50.35,Placed,596587.0
76,62.66,Central,56.26,Central,Commerce,65.48,Others,Yes,70.36,Mkt&Fin,89.25,Placed,683396.0
77,63.21,Central,84.65,Central,Commerce,82.8,Others,No,76.3,Mkt&HR,86.11,Placed,610836.0
78,79.79,Central,87.39,Central,Commerce,60.27,Sci&Tech,Yes,60.75,Mkt&Fin,51.12,Placed,613028.0
79,75.07,Central,94.74,Others,Science,79.81,Sci&Tech,Yes,43.98,Mkt&HR,50.73,Placed,638160.0
80,85.28,Central,88.65,Others,Science,52.95,Comm&Mgmt,No,89.66,Mkt&Fin,64.68,Placed,584577.0
81,79.89,Others,89.49,Central,Arts,80.63,Others,Yes,51.13,Mkt&HR,60.34,Placed,648782.0
82,68.29,Central,60.72,Others,Science,81.68,Sci&Tech,No,41.92,Mkt&Fin,83.88,Placed,530447.0
83,86.63,Central,65.08,Central,Commerce,66.07,Sci&Tech,No,73.22,Mkt&HR,56.42,Placed,552671.0
84,57.51,Others,58.4,Central,Arts,78.9,Sci&Tech,Yes,44.83,Mkt&HR,81.63,Placed,664820.0
85,51.02,Central,75.31,Others,Arts,86.61,Comm&Mgmt,No,45.55,Mkt&HR,72.18,Placed,579911.0
86,54.05,Others,91.94,Central,Arts,82.03,Others,No,86.42,Mkt&HR,65.1,Placed,664913.0
87,82.51,Others,62.23,Others,Science,65.62,Others,No,68.51,Mkt&HR,55.83,Placed,544094.0
88,70.78,Others,72.85,Central,Science,69.37,Comm&Mgmt,No,54.01,Mkt&HR,89.91,Placed,535832.0
89,57.26,Central,59.81,Central,Science,81.17,Sci&Tech,No,60.22,Mkt&HR,74.72,Placed,591719.0
90,72.55,Central,53.49,Others,Arts,61.7,Comm&Mgmt,Yes,82.3,Mkt&Fin,67.58,Placed,653353.0
91,56.85,Others,54.76,Others,Commerce,82.16,Comm&Mgmt,No,43.85,Mkt&Fin,64.85,Placed,580106.0
92,81.33,Central,47.9,Central,Arts,63.12,Sci&Tech,No,46.76,Mkt&Fin,86.23,Placed,523113.0
93,70.08,Others,92.46,Central,Commerce,82.24,Others,Yes,75.74,Mkt&HR,82.85,Placed,705387.0
94,67.15,Central,65.14,Others,Science,53.47,Others,No,75.2,Mkt&HR,82.45,Placed,552953.0
95,63.57,Central,86.71,Central,Commerce,51.78,Sci&Tech,No,96.4,Mkt&HR,74.65,Placed,570579.0
96,78.36,Others,79.07,Central,Science,89.91,Sci&Tech,No,61.72,Mkt&HR,85.52,Placed,609982.0
97,66.28,Others,54.6,Others,Arts,84.78,Sci&Tech,No,43.77,Mkt&HR,61.97,Placed,589187.0
98,53.94,Others,53.77,Central,Arts,85.31,Others,No,71.18,Mkt&Fin,78.15,Placed,624219.0
99,55.31,Others,85.6,Others,Arts,88.05,Comm&Mgmt,No,77.02,Mkt&HR,66.18,Placed,629549.0
100,93.29,Central,58.24,Central,Commerce,67.53,Sci&Tech,No,48.1,Mkt&HR,74.0,Placed,539263.0
101,90.89,Others,90.66,Others,Commerce,61.47,Sci&Tech,No,72.07,Mkt&Fin,89.93,Placed,564336.0
102,81.49,Others,52.0,Others,Arts,55.2,Sci&Tech,Yes,51.47,Mkt&Fin,89.38,Placed,578142.0
103,61.96,Central,78.89,Central,Science,70.05,Comm&Mgmt,Yes,88.99,Mkt&HR,70.5,Placed,721998.0
104,93.61,Central,85.72,Central,Commerce,58.8,Others,No,88.44,Mkt&HR,72.95,Placed,584728.0
105,85.04,Others,56.76,Central,Arts,87.42,Sci&Tech,No,64.92,Mkt&Fin,85.89,Placed,605867.0
106,82.26,Central,58.81,Others,Science,50.16,Sci&Tech,No,96.07,Mkt&HR,89.43,Placed,564151.0
107,70.22,Others,93.23,Others,Commerce,55.73,Comm&Mgmt,Yes,96.83,Mkt&Fin,81.14,Placed,702815.0
108,62.25,Central,58.23,Others,Arts,59.86,Others,Yes,47.5,Mkt&HR,52.61,Not Placed,
109,54.34,Central,66.5,Central,Science,57.96,Comm&Mgmt,No,61.33,Mkt&HR,62.91,Not Placed,
110,90.62,Central,66.63,Central,Science,59.03,Sci&Tech,No,74.82,Mkt&HR,85.86,Placed,568302.0
111,70.51,Central,57.65,Others,Arts,76.24,Sci&Tech,Yes,44.92,Mkt&HR,80.73,Placed,665396.0
112,59.11,Others,83.79,Others,Science,63.1,Others,No,62.19,Mkt&HR,79.69,Placed,529914.0
113,63.77,Others,83.59,Others,Science,74.6,Others,No,55.15,Mkt&HR,76.72,Placed,547429.0
114,76.06,Others,63.92,Central,Science,85.61,Others,No,95.22,Mkt&Fin,66.61,Placed,693991.0
115,57.95,Others,86.76,Central,Commerce,74.1,Comm&Mgmt,Yes,63.87,Mkt&Fin,66.13,Placed,673177.0
116,88.55,Central,55.65,Central,Commerce,77.78,Others,No,84.23,Mkt&HR,82.36,Placed,630246.0
117,84.13,Others,45.22,Central,Arts,64.62,Comm&Mgmt,No,62.43,Mkt&Fin,61.75,Placed,544371.0
118,82.38,Others,73.56,Central,Commerce,56.39,Sci&Tech,No,47.65,Mkt&Fin,77.39,Not Placed,
119,69.44,Others,94.7,Others,Science,62.82,Comm&Mgmt,Yes,90.06,Mkt&HR,79.05,Placed,699807.0
120,78.23,Others,46.93,Central,Commerce,88.57,Others,No,40.02,Mkt&HR,83.78,Placed,566915.0
121,76.28,Others,55.4,Others,Commerce,74.87,Comm&Mgmt,No,43.24,Mkt&HR,62.8,Placed,530692.0
122,79.24,Others,70.95,Others,Science,61.1,Others,Yes,61.13,Mkt&HR,79.68,Placed,625593.0
123,53.8,Others,85.5,Others,Arts,68.04,Others,No,79.84,Mkt&Fin,54.26,Placed,596615.0
124,68.71,Others,49.45,Others,Science,83.42,Sci&Tech,No,59.82,Mkt&HR,55.52,Placed,610798.0
125,51.87,Others,64.76,Central,Commerce,76.74,Sci&Tech,No,43.85,Mkt&HR,66.69,Not Placed,
126,72.23,Central,82.35,Others,Commerce,72.43,Sci&Tech,Yes,58.43,Mkt&HR,52.21,Placed,668025.0
127,64.84,Central,63.58,Central,Commerce,85.41,Others,No,54.21,Mkt&HR,87.91,Placed,585302.0
128,56.5,Others,54.44,Others,Arts,76.9,Others,Yes,40.31,Mkt&HR,86.08,Placed,650004.0
129,54.65,Central,54.77,Others,Commerce,75.71,Sci&Tech,No,71.02,Mkt&HR,51.96,Placed,588858.0
130,76.44,Central,65.5,Others,Science,57.59,Sci&Tech,No,46.77,Mkt&HR,83.53,Not Placed,
131,57.68,Others,68.97,Central,Commerce,54.26,Comm&Mgmt,Yes,56.67,Mkt&HR,70.35,Placed,578882.0
132,91.63,Others,88.09,Central,Science,88.61,Comm&Mgmt,Yes,77.19,Mkt&Fin,78.08,Placed,733281.0
133,76.15,Others,77.11,Central,Arts,73.95,Others,Yes,82.06,Mkt&Fin,85.48,Placed,722891.0
134,65.61,Central,79.52,Central,Science,66.63,Others,No,55.28,Mkt&Fin,73.08,Placed,514793.0
135,76.59,Central,94.15,Others,Science,73.56,Sci&Tech,No,59.09,Mkt&Fin,54.65,Placed,550058.0
136,51.03,Others,65.59,Central,Commerce,52.47,Sci&Tech,No,54.32,Mkt&Fin,50.1,Not Placed,
137,93.14,Others,65.17,Central,Commerce,82.89,Comm&Mgmt,Yes,95.5,Mkt&HR,69.88,Placed,783327.0
138,71.7,Central,91.17,Others,Arts,58.67,Comm&Mgmt,Yes,51.05,Mkt&HR,87.97,Placed,598873.0
139,85.22,Others,57.29,Central,Commerce,82.18,Others,Yes,50.62,Mkt&HR,72.9,Placed,668124.0
140,53.72,Central,81.49,Others,Science,71.38,Comm&Mgmt,No,65.81,Mkt&Fin,64.92,Placed,571221.0
141,71.9,Others,82.73,Central,Commerce,61.06,Comm&Mgmt,No,50.98,Mkt&HR,51.24,Placed,523647.0
142,72.08,Others,49.89,Central,Commerce,51.21,Sci&Tech,No,49.09,Mkt&Fin,86.6,Not Placed,
143,92.2,Others,68.41,Others,Science,82.63,Sci&Tech,Yes,45.56,Mkt&Fin,63.09,Placed,647681.0
144,75.73,Others,55.03,Others,Arts,57.06,Others,No,77.13,Mkt&HR,78.19,Placed,546996.0
145,71.31,Central,54.27,Others,Commerce,52.07,Others,Yes,75.5,Mkt&Fin,77.77,Placed,619942.0
146,62.01,Central,68.19,Others,Arts,80.24,Sci&Tech,No,77.71,Mkt&HR,60.16,Placed,630333.0
147,64.92,Central,59.47,Central,Science,64.0,Others,No,84.85,Mkt&HR,52.55,Placed,568835.0
148,73.43,Others,84.8,Others,Arts,65.57,Comm&Mgmt,No,58.93,Mkt&Fin,65.4,Placed,545005.0
149,69.75,Others,90.38,Central,Commerce,59.88,Comm&Mgmt,No,93.27,Mkt&HR,62.69,Placed,572673.0
150,50.97,Others,85.14,Others,Arts,84.37,Others,Yes,82.53,Mkt&Fin,78.01,Placed,766772.0
151,87.18,Central,58.3,Central,Commerce,61.89,Others,No,86.67,Mkt&HR,82.79,Placed,591012.0
152,90.33,Central,58.71,Others,Arts,58.41,Sci&Tech,Yes,81.82,Mkt&HR,58.9,Placed,645815.0
153,56.31,Others,57.74,Central,Science,62.37,Sci&Tech,No,60.79,Mkt&Fin,71.13,Placed,556634.0
154,74.93,Others,51.75,Others,Science,58.13,Others,Yes,56.42,Mkt&HR,51.62,Not Placed,
155,54.89,Others,92.19,Others,Commerce,62.71,Others,Yes,64.51,Mkt&HR,58.57,Not Placed,
156,80.25,Central,65.1,Others,Science,53.32,Sci&Tech,Yes,45.63,Mkt&Fin,80.47,Not Placed,
157,62.66,Central,56.23,Others,Commerce,56.34,Others,Yes,66.17,Mkt&HR,81.74,Not Placed,
158,79.67,Others,87.33,Central,Science,66.68,Comm&Mgmt,No,42.5,Mkt&HR,81.06,Placed,525435.0
159,82.71,Others,64.96,Central,Arts,85.18,Comm&Mgmt,No,40.23,Mkt&HR,55.7,Not Placed,
160,84.59,Central,46.76,Others,Commerce,52.29,Sci&Tech,Yes,94.03,Mkt&Fin,72.04,Placed,675745.0
161,54.85,Others,53.1,Central,Commerce,58.51,Others,No,79.98,Mkt&Fin,66.91,Placed,584847.0
162,91.22,Central,76.96,Central,Commerce,86.33,Others,No,72.59,Mkt&Fin,89.66,Placed,625588.0
163,60.36,Central,84.15,Central,Commerce,85.6,Comm&Mgmt,Yes,59.78,Mkt&HR,76.16,Placed,695403.0
164,51.68,Others,55.55,Others,Commerce,77.18,Others,No,73.09,Mkt&Fin,87.41,Placed,617831.0
165,74.97,Others,90.87,Central,Commerce,59.62,Others,No,91.71,Mkt&HR,55.81,Placed,565581.0
166,66.69,Others,87.55,Central,Science,66.79,Others,No,77.84,Mkt&Fin,68.03,Placed,578800.0
167,87.34,Central,87.42,Others,Commerce,58.45,Others,No,74.94,Mkt&Fin,80.86,Placed,567969.0
168,86.37,Others,56.38,Central,Arts,55.14,Others,No,66.69,Mkt&HR,64.71,Placed,510189.0
169,64.27,Others,47.53,Central,Arts,65.2,Others,Yes,60.05,Mkt&Fin,75.3,Placed,630900.0
170,92.88,Others,88.37,Central,Arts,73.03,Others,Yes,80.52,Mkt&Fin,70.47,Placed,703755.0
171,63.09,Central,60.29,Others,Science,64.4,Comm&Mgmt,No,96.9,Mkt&Fin,89.68,Placed,590714.0
172,73.18,Others,75.95,Central,Commerce,74.43,Others,No,64.64,Mkt&Fin,56.95,Placed,556111.0
173,61.52,Others,83.0,Others,Arts,61.85,Sci&Tech,No,62.75,Mkt&HR,87.41,Placed,523621.0
174,92.12,Others,51.41,Central,Commerce,63.83,Comm&Mgmt,Yes,64.83,Mkt&Fin,66.06,Placed,666043.0
175,57.41,Central,84.04,Central,Science,81.63,Comm&Mgmt,Yes,64.68,Mkt&HR,68.72,Placed,685341.0
176,52.02,Others,91.93,Central,Science,85.13,Others,Yes,97.46,Mkt&HR,71.14,Placed,786857.0
177,69.58,Central,81.42,Central,Arts,62.88,Sci&Tech,Yes,80.99,Mkt&HR,60.61,Placed,671923.0
178,94.66,Central,67.06,Central,Science,72.86,Comm&Mgmt,Yes,60.83,Mkt&HR,88.55,Placed,678255.0
179,90.13,Others,88.83,Central,Arts,61.13,Sci&Tech,No,61.55,Mkt&Fin,86.46,Placed,522999.0
180,83.69,Central,71.37,Central,Arts,52.13,Others,No,64.99,Mkt&HR,88.92,Placed,530093.0
181,90.09,Others,82.24,Others,Science,79.51,Others,No,42.13,Mkt&HR,89.88,Placed,541332.0
182,90.21,Central,86.03,Others,Arts,56.84,Sci&Tech,No,70.61,Mkt&HR,76.79,Placed,551318.0
183,73.35,Others,82.47,Others,Commerce,67.03,Others,Yes,87.06,Mkt&Fin,68.07,Placed,716780.0
184,64.22,Others,59.39,Others,Arts,69.48,Comm&Mgmt,No,78.31,Mkt&Fin,84.03,Placed,586652.0
185,84.74,Others,50.89,Others,Commerce,57.38,Others,Yes,51.51,Mkt&Fin,50.95,Not Placed,
186,79.77,Central,56.92,Others,Arts,53.78,Others,No,82.23,Mkt&Fin,83.38,Placed,531731.0
187,66.81,Central,70.14,Others,Science,63.92,Sci&Tech,Yes,81.73,Mkt&HR,69.89,Placed,680041.0
188,54.25,Central,70.26,Central,Arts,88.09,Sci&Tech,No,55.23,Mkt&Fin,76.93,Placed,593398.0
189,83.61,Central,74.13,Others,Commerce,74.61,Comm&Mgmt,No,76.13,Mkt&Fin,64.96,Placed,623810.0
190,61.81,Others,64.76,Central,Science,65.26,Sci&Tech,No,75.44,Mkt&Fin,64.74,Not Placed,
191,92.16,Central,84.34,Others,Arts,51.56,Sci&Tech,No,88.71,Mkt&HR,51.27,Placed,571267.0
192,60.84,Central,90.66,Others,Commerce,74.01,Others,No,47.89,Mkt&HR,66.95,Placed,565264.0
193,55.52,Central,57.34,Central,Commerce,53.69,Others,Yes,51.3,Mkt&Fin,66.33,Not Placed,
194,87.4,Central,81.83,Central,Commerce,71.7,Comm&Mgmt,No,68.19,Mkt&HR,58.99,Placed,589873.0
195,56.9,Others,78.9,Central,Commerce,80.08,Sci&Tech,No,42.56,Mkt&HR,59.89,Not Placed,
196,58.07,Others,71.15,Central,Science,66.94,Sci&Tech,No,64.1,Mkt&HR,73.37,Placed,539240.0
197,76.97,Central,54.43,Others,Science,61.98,Others,No,85.72,Mkt&HR,62.71,Placed,598149.0
198,89.36,Others,84.76,Others,Commerce,51.9,Sci&Tech,Yes,48.63,Mkt&HR,83.21,Placed,562682.0
199,58.84,Others,93.03,Others,Commerce,50.99,Sci&Tech,No,66.68,Mkt&Fin,54.46,Placed,495590.0
200,63.96,Central,81.09,Others,Commerce,67.2,Comm&Mgmt,No,97.41,Mkt&HR,73.11,Placed,640408.0
201,84.98,Central,90.89,Central,Arts,85.33,Comm&Mgmt,Yes,69.34,Mkt&Fin,56.4,Placed,700391.0
202,93.73,Central,94.21,Central,Arts,59.76,Comm&Mgmt,Yes,68.9,Mkt&HR,71.13,Placed,624175.0
203,72.53,Central,62.6,Others,Commerce,72.96,Comm&Mgmt,Yes,72.41,Mkt&Fin,72.1,Placed,689248.0
204,56.48,Central,76.91,Others,Commerce,77.37,Others,No,50.79,Mkt&HR,75.69,Placed,562896.0
205,50.63,Central,68.7,Others,Commerce,52.43,Comm&Mgmt,Yes,48.54,Mkt&Fin,67.1,Not Placed,
206,60.33,Others,94.33,Central,Arts,56.12,Others,Yes,79.29,Mkt&Fin,70.38,Placed,645852.0
207,55.93,Central,49.69,Others,Arts,63.25,Comm&Mgmt,Yes,62.95,Mkt&Fin,57.24,Placed,626912.0
208,80.49,Others,65.62,Others,Arts,76.8,Comm&Mgmt,No,56.81,Mkt&HR,68.52,Placed,559120.0
209,55.48,Central,88.78,Central,Commerce,67.56,Comm&Mgmt,Yes,41.82,Mkt&Fin,64.92,Not Placed,
210,72.78,Central,59.2,Central,Science,79.37,Others,Yes,89.07,Mkt&HR,76.65,Placed,750119.0
211,81.24,Others,84.39,Central,Commerce,84.7,Others,No,41.88,Mkt&HR,67.39,Placed,561509.0
212,76.15,Others,64.14,Central,Arts,80.33,Sci&Tech,Yes,83.5,Mkt&HR,81.17,Placed,755968.0
213,58.99,Others,94.0,Central,Science,89.69,Others,No,62.16,Mkt&Fin,67.04,Placed,593805.0
214,86.19,Central,89.18,Others,Commerce,80.17,Others,No,74.72,Mkt&Fin,59.43,Placed,628831.0
215,82.19,Central,60.07,Others,Arts,84.09,Others,No,54.37,Mkt&Fin,60.95,Placed,606496.0
216,83.25,Central,83.51,Central,Science,83.29,Sci&Tech,No,49.01,Mkt&Fin,51.81,Placed,572198.0
217,55.9,Central,61.84,Others,Science,79.21,Others,No,70.94,Mkt&HR,71.6,Placed,614476.0
218,55.57,Others,75.32,Others,Commerce,82.07,Sci&Tech,Yes,80.35,Mkt&HR,83.24,Placed,728944.0
219,91.74,Central,77.92,Central,Commerce,87.39,Sci&Tech,Yes,51.34,Mkt&HR,80.76,Placed,694601.0
220,67.89,Central,86.48,Central,Arts,69.01,Others,Yes,65.31,Mkt&HR,67.51,Not Placed,
221,63.54,Others,46.22,Central,Commerce,75.53,Sci&Tech,Yes,65.79,Mkt&Fin,57.84,Placed,684681.0
222,71.99,Central,56.01,Others,Commerce,70.6,Others,No,52.53,Mkt&Fin,84.54,Placed,545764.0
223,79.83,Central,80.6,Others,Arts,84.04,Comm&Mgmt,Yes,72.77,Mkt&Fin,52.27,Placed,746994.0
224,93.0,Central,73.18,Others,Commerce,67.25,Sci&Tech,Yes,48.46,Mkt&Fin,65.97,Placed,623501.0
225,62.89,Central,69.78,Others,Science,82.79,Sci&Tech,No,69.57,Mkt&Fin,84.26,Placed,596169.0
226,91.62,Others,47.76,Central,Arts,81.97,Others,No,46.58,Mkt&Fin,65.73,Placed,573211.0
227,51.12,Others,62.41,Central,Science,88.48,Others,Yes,68.16,Mkt&HR,54.72,Placed,736404.0
228,74.98,Others,88.26,Others,Science,59.96,Comm&Mgmt,Yes,58.07,Mkt&Fin,60.64,Placed,607877.0
229,78.53,Central,46.54,Central,Commerce,78.38,Others,Yes,66.23,Mkt&Fin,74.0,Placed,704036.0
230,54.77,Others,64.82,Central,Science,80.28,Sci&Tech,Yes,65.16,Mkt&Fin,56.08,Placed,674346.0
231,56.32,Others,92.26,Central,Science,87.45,Comm&Mgmt,No,92.66,Mkt&Fin,76.2,Placed,663670.0
232,68.86,Central,47.54,Central,Science,86.28,Sci&Tech,No,68.42,Mkt&Fin,67.53,Placed,638435.0
233,93.48,Others,82.49,Central,Commerce,72.94,Comm&Mgmt,No,87.47,Mkt&Fin,63.38,Placed,624635.0
234,76.82,Central,57.88,Central,Commerce,73.17,Sci&Tech,No,53.09,Mkt&HR,59.64,Placed,556053.0
235,91.99,Others,88.33,Central,Arts,56.69,Comm&Mgmt,No,60.42,Mkt&HR,82.93,Placed,521957.0
